% Model:              new_test2.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 11 2026, 19:48
% Dimension:          1
% Nodes:              54
% Expressions:        1
% Description:        Global
% Glucose core index      Value
1.34444                   1.3334113969890022
1.34444                   1.348355660240993
1.34444                   1.3483593914779959
1.34503                   1.3429936362488926
1.34503                   1.3483556601425968
1.34503                   1.348359391445053
1.34562                   1.3483556601865097
1.34562                   1.3483593913736887
1.34562                   1.3528297160136435
1.3468                    1.3483556601391509
1.3468                    1.3483593914421077
1.3468                    1.3528297160134672
1.349868                  1.3483556601371185
1.349868                  1.3528297160146903
1.349868                  1.3538183690751038
1.35034                   1.3483556601857927
1.35034                   1.3528297160146907
1.35034                   1.3538183690756416
1.35152                   1.3528297160146907
1.35152                   1.3538183690748173
1.35152                   1.3550990167846984
1.35211                   1.3528297160146903
1.35211                   1.3538183690748313
1.35211                   1.3579590574586449
1.35329                   1.3528297160146907
1.35329                   1.3579457014247303
1.35329                   1.357959057458067
1.353644                  1.3528297160146894
1.353644                  1.3579457011401919
1.353644                  1.3579590572721394
1.353762                  1.3528297160146041
1.353762                  1.35794570131624
1.353762                  1.3579590573155897
1.35388                   1.3528297160145406
1.35388                   1.3579457015112804
1.35388                   1.357959057250348
1.3586                    1.357959057456039
1.3586                    1.362237690339237
1.3586                    1.3622439525814258
1.36096                   1.3622376903392368
1.36096                   1.3622439525814258
1.36096                   1.366216454213908
1.36332                   1.36223769034387
1.36332                   1.3662164542026587
1.36332                   1.366228411480415
1.36568                   1.3662164542027269
1.36568                   1.3662284114803949
1.36568                   1.3698826754849336
1.36804                   1.3662164542268038
1.36804                   1.3698826753913613
1.36804                   1.3699128859410796
1.3704                    1.3698826753913442
1.3704                    1.369912885941068
1.3704                    1.3732731059937617
